time,forecast_demand,real_demand
2014/10/21/1,10389.433357620055,10384.0
2014/10/21/2,9964.25388400686,9978.0
2014/10/21/3,9747.595444103485,9761.0
2014/10/21/4,9659.101151748584,9714.0
2014/10/21/5,9976.459993297189,10003.0
2014/10/21/6,11053.6491381689,11011.0
2014/10/21/7,13056.468237557374,13026.0
2014/10/21/8,14256.735651106588,14168.0
2014/10/21/9,14664.62313655848,14376.0
2014/10/21/10,14956.552583752231,14475.0
2014/10/21/11,15231.190042784678,14585.0
2014/10/21/12,15417.333209462226,14632.0
2014/10/21/13,15460.054591978385,14608.0
2014/10/21/14,15524.136665752621,14636.0
2014/10/21/15,15460.054591978385,14506.0
2014/10/21/16,15348.165256817014,14439.0
2014/10/21/17,15399.024045526729,14608.0
2014/10/21/18,15604.493551913967,15143.0
2014/10/21/19,16339.911636656407,15845.0
2014/10/21/20,16314.482242301552,15609.0
2014/10/21/21,15545.4973570107,14885.0
2014/10/21/22,14396.0887321712,13752.0
2014/10/21/23,12944.578902396006,12297.0
2014/10/21/24,11656.834372266088,11060.0
