Date,Hour,DEMAND,DryBulb,DewPnt
2003/3/1,1,12863,23,18
2003/3/1,2,12389,22,18
2003/3/1,3,12155,21,18
2003/3/1,4,12072,21,18
2003/3/1,5,12160,22,18
2003/3/1,6,12568,21,18
2003/3/1,7,13236,22,18
2003/3/1,8,14190,22,18
2003/3/1,9,15213,24,19
2003/3/1,10,15647,27,21
2003/3/1,11,15653,30,22
2003/3/1,12,15416,33,23
2003/3/1,13,14994,35,23
2003/3/1,14,14581,37,24
2003/3/1,15,14335,37,24
2003/3/1,16,14269,38,25
2003/3/1,17,14685,37,26
2003/3/1,18,15680,36,26
2003/3/1,19,16386,35,27
2003/3/1,20,16020,35,28
2003/3/1,21,15476,34,29
2003/3/1,22,14753,34,31
2003/3/1,23,13757,33,31
2003/3/1,24,12707,33,31
2003/3/2,1,11861,32,31
2003/3/2,2,11373,32,31
2003/3/2,3,11085,32,31
2003/3/2,4,10905,32,31
2003/3/2,5,10930,32,32
2003/3/2,6,11167,33,32
2003/3/2,7,11604,33,32
2003/3/2,8,12347,33,32
2003/3/2,9,13501,34,32
2003/3/2,10,14438,34,33
2003/3/2,11,15055,34,33
2003/3/2,12,15407,34,34
2003/3/2,13,15513,35,35
2003/3/2,14,15331,36,36
2003/3/2,15,15192,37,37
2003/3/2,16,15175,37,35
2003/3/2,17,15574,36,35
2003/3/2,18,16281,36,34
2003/3/2,19,16842,36,35
2003/3/2,20,16504,36,34
2003/3/2,21,15815,36,33
2003/3/2,22,14745,36,33
2003/3/2,23,13444,36,32
2003/3/2,24,12350,35,29
2003/3/3,1,11657,35,27
2003/3/3,2,11358,34,24
2003/3/3,3,11315,31,20
2003/3/3,4,11511,28,11
2003/3/3,5,12068,23,5
2003/3/3,6,13523,18,3
2003/3/3,7,15850,14,-1
2003/3/3,8,17340,10,-8
2003/3/3,9,17839,8,-10
2003/3/3,10,18048,7,-13
2003/3/3,11,18192,8,-13
2003/3/3,12,18169,9,-13
2003/3/3,13,17991,11,-13
2003/3/3,14,17783,12,-12
2003/3/3,15,17489,13,-11
2003/3/3,16,17374,14,-10
2003/3/3,17,17762,14,-11
2003/3/3,18,18849,13,-10
2003/3/3,19,19997,12,-11
2003/3/3,20,19764,11,-11
2003/3/3,21,19089,10,-10
2003/3/3,22,17930,9,-11
2003/3/3,23,16416,8,-10
2003/3/3,24,15059,7,-10
2003/3/4,1,14222,6,-10
2003/3/4,2,13870,5,-9
2003/3/4,3,13748,4,-9
2003/3/4,4,13804,4,-9
2003/3/4,5,14133,4,-9
2003/3/4,6,15287,4,-8
2003/3/4,7,17309,4,-8
2003/3/4,8,18491,6,-8
2003/3/4,9,18619,8,-7
2003/3/4,10,18460,12,-6
2003/3/4,11,18238,16,-5
2003/3/4,12,17933,20,0
2003/3/4,13,17506,24,4
2003/3/4,14,17242,27,8
2003/3/4,15,16849,30,11
2003/3/4,16,16694,32,13
2003/3/4,17,16961,32,14
2003/3/4,18,17904,32,16
2003/3/4,19,18908,31,18
2003/3/4,20,18578,30,19
2003/3/4,21,17856,30,21
2003/3/4,22,16623,30,23
2003/3/4,23,14996,30,25
2003/3/4,24,13581,30,26
2003/3/5,1,12638,31,27
2003/3/5,2,12184,31,27
2003/3/5,3,11961,31,28
2003/3/5,4,11884,31,29
2003/3/5,5,12150,32,30
2003/3/5,6,13256,32,30
2003/3/5,7,15276,33,31
2003/3/5,8,16536,33,32
2003/3/5,9,16874,34,32
2003/3/5,10,16941,35,34
2003/3/5,11,16984,37,36
2003/3/5,12,16918,38,37
2003/3/5,13,16721,39,38
2003/3/5,14,16646,39,38
2003/3/5,15,16426,40,39
2003/3/5,16,16381,40,39
2003/3/5,17,16745,40,40
2003/3/5,18,17506,40,40
2003/3/5,19,18091,40,40
2003/3/5,20,17648,40,40
2003/3/5,21,16898,39,38
2003/3/5,22,15766,40,39
2003/3/5,23,14152,41,37
2003/3/5,24,12823,39,35
2003/3/6,1,11971,37,32
2003/3/6,2,11603,36,31
2003/3/6,3,11454,35,28
2003/3/6,4,11467,33,26
2003/3/6,5,11813,31,24
2003/3/6,6,13032,30,22
2003/3/6,7,15164,29,19
2003/3/6,8,16545,28,17
2003/3/6,9,17029,28,17
2003/3/6,10,17274,27,15
2003/3/6,11,17543,27,15
2003/3/6,12,17708,26,15
2003/3/6,13,17733,24,19
2003/3/6,14,17737,22,19
2003/3/6,15,17503,22,19
2003/3/6,16,17371,22,17
2003/3/6,17,17658,21,15
2003/3/6,18,18590,21,15
2003/3/6,19,19481,20,14
2003/3/6,20,19128,19,13
2003/3/6,21,18275,19,8
