time,forecast_demand,real_demand
2014/10/20/1,10347.135765616245,10003.0
2014/10/20/2,9973.480546875966,9674.0
2014/10/20/3,9801.18397379017,9537.0
2014/10/20/4,9772.12190122148,9554.0
2014/10/20/5,10039.908141318683,9927.0
2014/10/20/6,10820.4323760206,11082.0
2014/10/20/7,12135.49115975375,13172.0
2014/10/20/8,13200.408533163547,14320.0
2014/10/20/9,14024.525876718497,14497.0
2014/10/20/10,14525.846628528374,14500.0
2014/10/20/11,14869.401843536798,14527.0
2014/10/20/12,14950.36047426386,14435.0
2014/10/20/13,14839.30183980494,14263.0
2014/10/20/14,14762.494933730552,14193.0
2014/10/20/15,14638.981125313625,14068.0
2014/10/20/16,14601.615603439595,14037.0
2014/10/20/17,14851.757013762952,14299.0
2014/10/20/18,15471.401918173913,14957.0
2014/10/20/19,16200.02959471746,15883.0
2014/10/20/20,16014.239916510487,15706.0
2014/10/20/21,15229.5639571559,15007.0
2014/10/20/22,14094.067264650717,13885.0
2014/10/20/23,12649.267085521635,12454.0
2014/10/20/24,11418.280726005047,11191.0
2014/10/21/1,10389.433357620055,10384.0
2014/10/21/2,9964.25388400686,9978.0
2014/10/21/3,9747.595444103485,9761.0
2014/10/21/4,9659.101151748584,9714.0
2014/10/21/5,9976.459993297189,10003.0
2014/10/21/6,11053.6491381689,11011.0
2014/10/21/7,13056.468237557374,13026.0
2014/10/21/8,14256.735651106588,14168.0
2014/10/21/9,14664.62313655848,14376.0
2014/10/21/10,14956.552583752231,14475.0
2014/10/21/11,15231.190042784678,14585.0
2014/10/21/12,15417.333209462226,14632.0
2014/10/21/13,15460.054591978385,14608.0
2014/10/21/14,15524.136665752621,14636.0
2014/10/21/15,15460.054591978385,14506.0
2014/10/21/16,15348.165256817014,14439.0
2014/10/21/17,15399.024045526729,14608.0
2014/10/21/18,15604.493551913967,15143.0
2014/10/21/19,16339.911636656407,15845.0
2014/10/21/20,16314.482242301552,15609.0
2014/10/21/21,15545.4973570107,14885.0
2014/10/21/22,14396.0887321712,13752.0
2014/10/21/23,12944.578902396006,12297.0
2014/10/21/24,11656.834372266088,11060.0
2014/10/22/1,10581.282959297972,10252.0
2014/10/22/2,10136.457088630597,9822.0
2014/10/22/3,9888.668180809174,9593.0
2014/10/22/4,9836.921099657713,9542.0
2014/10/22/5,10089.685688359084,9835.0
2014/10/22/6,11107.7099963965,10861.0
2014/10/22/7,13034.293633112466,12845.0
2014/10/22/8,14146.855877868897,14112.0
2014/10/22/9,14615.565016760023,14440.0
2014/10/22/10,15074.322793891253,14674.0
2014/10/22/11,15516.163256030657,14859.0
2014/10/22/12,15751.015393564216,14887.0
2014/10/22/13,15875.407415562924,14843.0
2014/10/22/14,15984.872394921786,14824.0
2014/10/22/15,15947.057220234177,14720.0
2014/10/22/16,15832.616559995367,14744.0
2014/10/22/17,15840.577649403287,15049.0
2014/10/22/18,16053.536791065071,15678.0
2014/10/22/19,16739.185616321938,16085.0
2014/10/22/20,16618.77413902719,15690.0
2014/10/22/21,15926.159360538395,14971.0
2014/10/22/22,14827.529022245817,13836.0
2014/10/22/23,13376.620477652905,12425.0
2014/10/22/24,12098.865627682191,11232.0
2014/10/23/1,11099.2777104465,10433.0
